date,titre,description,catégorie,pays_concernés
2012-06,Pacte budgétaire européen ratifié,L’Allemagne ratifie le pacte visant à renforcer la discipline budgétaire dans la zone euro,Politique / Économie,Allemagne;Union européenne
2013-09,Élections fédérales 2013,Angela Merkel est réélue chancelière pour un troisième mandat,Politique,Allemagne
2014-03,Crise ukrainienne et sanctions,L’Allemagne soutient les sanctions européennes contre la Russie après l’annexion de la Crimée,Politique étrangère,Allemagne;Russie;Ukraine;UE
2015-09,Crise migratoire européenne,L’Allemagne ouvre largement ses frontières et accueille environ un million de réfugiés,Société / Migration,Allemagne;Syrie;Irak;UE
2016-12,Attentat du marché de Noël de Berlin,Un attentat islamiste fait plusieurs morts au Breitscheidplatz,Sécurité / Terrorisme,Allemagne
2017-07,Sommet du G20 à Hambourg,Sommet marqué par de violentes manifestations et des débats sur la mondialisation,Politique internationale,Allemagne;G20
2017-09,Élections fédérales 2017,Angela Merkel entame un quatrième mandat dans un contexte politique fragmenté,Politique,Allemagne
2018-10,Fin annoncée de l’ère Merkel,Angela Merkel annonce qu’elle ne se représentera plus comme chancelière,Politique,Allemagne
2019-11,30 ans de la chute du Mur de Berlin,Commémorations nationales et internationales de la réunification allemande,Histoire / Société,Allemagne
2020-03,Pandémie de COVID-19,Début des confinements et mesures sanitaires à l’échelle nationale,Santé publique,Allemagne;Monde
2021-09,Élections fédérales 2021,Fin de l’ère Merkel et victoire du SPD,Politique,Allemagne
2021-12,Olaf Scholz devient chancelier,Formation d’une coalition SPD-Verts-FDP,Politique,Allemagne
2022-02,Guerre en Ukraine,Début de l’invasion russe de l’Ukraine et changement majeur de la politique allemande,Conflit international,Allemagne;Ukraine;Russie
2022-02,Discours « Zeitenwende »,Annonce d’un tournant historique avec un fonds spécial de 100 milliards € pour la défense,Défense / Politique,Allemagne
2022-04,Crise énergétique européenne,Réduction des importations de gaz russe et mesures d’urgence énergétiques,Énergie / Économie,Allemagne;Russie;UE
2023-04,Sortie définitive du nucléaire,Arrêt des dernières centrales nucléaires allemandes,Énergie / Environnement,Allemagne
2024-01,Manifestations anti-extrême droite,Manifestations massives contre l’AfD et l’extrémisme,Société / Politique,Allemagne
2024-06,Élections européennes 2024,Progression notable de l’extrême droite en Allemagne,Politique,Allemagne;UE
2025-02,Élections fédérales 2025,La CDU/CSU arrive en tête et l’AfD réalise un score historique,Politique,Allemagne
2025-05,Friedrich Merz devient chancelier,Formation d’un nouveau gouvernement dirigé par la CDU,Politique,Allemagne
2025-04,Sécularisation majoritaire,Les personnes sans religion deviennent majoritaires en Allemagne,Société,Allemagne
2025-06,Virage budgétaire et défense,Adoption d’un budget marqué par un fort endettement et l’investissement militaire,Économie / Défense,Allemagne
2012-01,Base du commerce bois en Allemagne,La valeur des exportations de bois et articles en bois était historiquement basse en décembre 2012,Commerce / Statistique,Allemagne;Monde
2015-06,Tendance hausse export bois résineux,Volumes élevés d’exportations de bois d’œuvre résineux vers les marchés non-européens au S1 2015,Commerce / Export,Allemagne;USA;Asie du Sud‑Est
2022-06,Exportations allemandes vers Europe chute,Diminution de 12 % des exportations vers l’Europe des bois d’œuvre résineux,Commerce / Export,Allemagne;Pays européens
2024-01,Exports résineux UE vers USA diminuent,Les États‑Unis réduisent de ~20 % les importations de bois résineux européen,Commerce / Export,Allemagne;USA
2024-12,Tendance baisse import tropical Allemagne,Les importations de bois tropicaux ronds et sciés diminuent fortement entre 2022 et 2024,Commerce / Import,Allemagne;Cameroun;Brésil;Afrique & Asie
2025-01,Volume export bois & articles en bois,Le volume exporté des bois & articles de bois reste élevé avec des valeurs fortes début 2025,Commerce / Statistique,Allemagne;Monde
2025-01,Exports résineux allemands chutent,H1 2025 : exportations de bois résineux chutent de ~12% en volume tandis que valeur augmente légèrement,Commerce / Export,Allemagne;Union européenne;USA
2025-07,Exports vers Chine en forte baisse,Exportations allemandes de bois vers la Chine chutent depuis 26 mois consécutifs en volume et valeur,Commerce / Export,Allemagne;Chine
2025-08,Exportations bois de hêtre stabilité,Au S1 2025 : exportations de bois de hêtre stables par rapport à 2024 mais encore en dessous des niveaux records de 2021,Commerce / Export,Allemagne;Chine;UE
2025-10,Feuillus allemands vers la Chine en baisse,Exportations de bois dur allemand vers la Chine diminuent fortement en volume et valeur,Commerce / Export,Allemagne;Chine

